drug_id,reference_id,note,created_at,updated_at
RDC00625,RE00396,,,
RDC00646,RE00397,,,
RDC00686,RE00398,,,
RDC00606,RE00398,,,
RDC00650,RE00399,,,
RDC00633,RE00399,,,
RDC00652,RE00399,,,
RDC00653,RE00399,,,
RDC00606,RE00400,,,
RDC00654,RE00401,,,
RDC00655,RE00402,,,
RDC00656,RE00403,,,
RDC00657,RE00404,,,
RDC00658,RE00405,,,
RDC00659,RE00406,,,
RDC00631,RE00406,,,
RDC00661,RE00407,,,
RDC00662,RE00408,,,
RDC00663,RE00408,,,
RDC00666,RE00409,,,
RDC00667,RE00410,,,
RDC00669,RE00411,,,
RDC00670,RE00412,,,
RDC00671,RE00413,,,
RDC00673,RE00414,,,
RDC00674,RE00415,,,
RDC00607,RE00416,,,
RDC00641,RE00417,,,
RDC00676,RE00418,,,
RDC00646,RE00419,,,
RDC00679,RE00420,,,
RDC00680,RE00421,,,
RDC00681,RE00421,,,
RDC00682,RE00421,,,
RDC00683,RE00421,,,
RDC00684,RE00422,,,
RDC00685,RE00422,,,
RDC00686,RE00423,,,
RDC00687,RE00424,,,
RDC00689,RE00425,,,
RDC00691,RE00426,,,
RDC00692,RE00427,,,
RDC00631,RE00427,,,
RDC00686,RE00429,,,
RDC00696,RE00430,,,
RDC00607,RE00431,,,
RDC00608,RE00432,,,
RDC00698,RE00433,,,
RDC00699,RE00434,,,
RDC00700,RE00435,,,
RDC00701,RE00435,,,
RDC00702,RE00435,,,
RDC00703,RE00436,,,
RDC00704,RE00436,,,
RDC00705,RE00437,,,
RDC00706,RE00438,,,
RDC00707,RE00439,,,
RDC00708,RE00439,,,
RDC00709,RE00439,,,
RDC00710,RE00439,,,
RDC00711,RE00440,,,
RDC00713,RE00441,,,
RDC00713,RE00442,,,
RDC00715,RE00443,,,
RDC00716,RE00443,,,
RDC00717,RE00443,,,
RDC00718,RE00443,,,
RDC00719,RE00443,,,
RDC00720,RE00443,,,
RDC00721,RE00444,,,
RDC00722,RE00445,,,
RDC00723,RE00446,,,
RDC00724,RE00447,,,
RDC00725,RE00447,,,
RDC00726,RE00447,,,
RDC00727,RE00447,,,
RDC00728,RE00448,,,
RDC00729,RE00449,,,
RDC00672,RE00450,,,
RDC00730,RE00451,,,
RDC00731,RE00452,,,
RDC00732,RE00452,,,
RDC00733,RE00452,,,
RDC00734,RE00453,,,
RDC00735,RE00454,,,
RDC00736,RE00455,,,
RDC00737,RE00456,,,
RDC00738,RE00456,,,
RDC00739,RE00457,,,
RDC00740,RE00458,,,
RDC00741,RE00459,,,
RDC00713,RE00460,,,
RDC00743,RE00461,,,
RDC00744,RE00462,,,
RDC00745,RE00462,,,
RDC00746,RE00463,,,
RDC00777,RE00464,,,
RDC00778,RE00464,,,
RDC00779,RE00464,,,
RDC00780,RE00464,,,
RDC00781,RE00465,,,
RDC00782,RE00466,,,
RDC00783,RE00466,,,
RDC00784,RE00467,,,
RDC00785,RE00468,,,
RDC00786,RE00468,,,
RDC00787,RE00469,,,
RDC00788,RE00469,,,
RDC00789,RE00469,,,
RDC00790,RE00470,,,
RDC00791,RE00470,,,
RDC00792,RE00471,,,
RDC00793,RE00471,,,
RDC00794,RE00471,,,
RDC00797,RE00472,,,
RDC00798,RE00473,,,
RDC00799,RE00474,,,
RDC00800,RE00475,,,
RDC00801,RE00476,,,
RDC00802,RE00476,,,
RDC00803,RE00476,,,
RDC00804,RE00476,,,
RDC00805,RE00477,,,
RDC00806,RE00477,,,
RDC00807,RE00478,,,
RDC00808,RE00478,,,
RDC00809,RE00478,,,
RDC00810,RE00478,,,
RDC00811,RE00478,,,
RDC00812,RE00478,,,
RDC00813,RE00478,,,
RDC00814,RE00479,,,
RDC00815,RE00479,,,
RDC00816,RE00480,,,
RDC00817,RE00480,,,
RDC00818,RE00480,,,
