drug_id,indication_id,evidence,created_at,updated_at
RDC00715,IN00025,,,
RDC00716,IN00025,,,
RDC00717,IN00025,,,
RDC00718,IN00025,,,
RDC00719,IN00025,,,
RDC00720,IN00025,,,
RDC00721,IN00025,,,
RDC00722,IN00025,,,
RDC00723,IN00025,,,
RDC00724,IN00025,,,
RDC00725,IN00025,,,
RDC00726,IN00025,,,
RDC00727,IN00025,,,
RDC00728,IN00025,,,
RDC00729,IN00025,,,
RDC00730,IN00025,,,
RDC00731,IN00025,,,
RDC00731,IN00034,,,
RDC00732,IN00025,,,
RDC00732,IN00034,,,
RDC00733,IN00025,,,
RDC00734,IN00025,,,
RDC00735,IN00025,,,
RDC00735,IN00034,,,
RDC00736,IN00025,,,
RDC00737,IN00025,,,
RDC00738,IN00025,,,
RDC00739,IN00025,,,
RDC00740,IN00025,,,
RDC00741,IN00025,,,
RDC00741,IN00034,,,
RDC00743,IN00025,,,
RDC00744,IN00025,,,
RDC00745,IN00025,,,
RDC00746,IN00025,,,
RDC00751,IN00065,,,
RDC00752,IN00065,,,
RDC00754,IN00024,,,
RDC00754,IN00007,,,
RDC00755,IN00024,,,
RDC00756,IN00024,,,
RDC00757,IN00024,,,
RDC00758,IN00024,,,
RDC00759,IN00002,,,
RDC00760,IN00016,,,
RDC00760,IN00065,,,
RDC00761,IN00016,,,
RDC00761,IN00065,,,
RDC00762,IN00016,,,
RDC00762,IN00065,,,
RDC00763,IN00016,,,
RDC00763,IN00065,,,
RDC00764,IN00016,,,
RDC00764,IN00065,,,
RDC00765,IN00016,,,
RDC00765,IN00065,,,
RDC00766,IN00016,,,
RDC00766,IN00065,,,
RDC00767,IN00016,,,
RDC00767,IN00065,,,
RDC00768,IN00016,,,
RDC00768,IN00065,,,
RDC00769,IN00016,,,
RDC00769,IN00065,,,
RDC00770,IN00016,,,
RDC00770,IN00065,,,
RDC00780,IN00007,,,
RDC00780,IN00011,,,
RDC00781,IN00009,,,
RDC00781,IN00037,,,
RDC00782,IN00007,,,
RDC00782,IN00014,,,
RDC00783,IN00065,,,
RDC00784,IN00065,,,
RDC00785,IN00065,,,
RDC00786,IN00065,,,
RDC00787,IN00041,,,
RDC00788,IN00041,,,
RDC00789,IN00041,,,
RDC00790,IN00065,,,
RDC00791,IN00065,,,
RDC00792,IN00065,,,
RDC00793,IN00065,,,
RDC00794,IN00065,,,
RDC00797,IN00065,,,
RDC00798,IN00012,,,
RDC00799,IN00012,,,
RDC00800,IN00016,,,
RDC00801,IN00065,,,
RDC00802,IN00065,,,
RDC00803,IN00065,,,
RDC00804,IN00065,,,
RDC00805,IN00065,,,
RDC00806,IN00065,,,
RDC00809,IN00007,,,
RDC00812,IN00041,,,
RDC00813,IN00065,,,
RDC00814,IN00065,,,
RDC00815,IN00065,,,
RDC00816,IN00065,,,
RDC00817,IN00065,,,
RDC00818,IN00065,,,
RDC00820,IN00006,,,
RDC00821,IN00016,,,
RDC00822,IN00016,,,
RDC00823,IN00065,,,
RDC00823,IN00016,,,
RDC00824,IN00006,,,
RDC00824,IN00060,,,
RDC00824,IN00107,,,
RDC00825,IN00056,,,
RDC00826,IN00043,,,
RDC00827,IN00043,,,
RDC00828,IN00006,,,
RDC00829,IN00006,,,
RDC00829,IN00016,,,
RDC00830,IN00037,,,
RDC00831,IN00037,,,
RDC00832,IN00009,,,
RDC00832,IN00062,,,
RDC00832,IN00056,,,
RDC00833,IN00009,,,
RDC00833,IN00062,,,
RDC00833,IN00056,,,
RDC00834,IN00009,,,
RDC00834,IN00062,,,
RDC00834,IN00056,,,
RDC00836,IN00002,,,
RDC00837,IN00041,,,
RDC00838,IN00041,,,
RDC00839,IN00041,,,
RDC00840,IN00041,,,
RDC00841,IN00016,,,
RDC00841,IN00032,,,
RDC00842,IN00016,,,
RDC00843,IN00006,,,
RDC00844,IN00006,,,
RDC00845,IN00006,,,
RDC00846,IN00016,,,
RDC00847,IN00016,,,
RDC00848,IN00016,,,
RDC00849,IN00016,,,
RDC00850,IN00006,,,
RDC00851,IN00006,,,
RDC00852,IN00065,,,
RDC00852,IN00008,,,
RDC00854,IN00006,,,
RDC00854,IN00011,,,
RDC00855,IN00006,,,
RDC00856,IN00007,,,
RDC00857,IN00007,,,
RDC00858,IN00041,,,
RDC00860,IN00065,,,
RDC00861,IN00065,,,
RDC00862,IN00065,,,
RDC00863,IN00011,,,
RDC00865,IN00011,,,
RDC00870,IN00006,,,
RDC00872,IN00009,,,
RDC00872,IN00062,,,
RDC00872,IN00056,,,
RDC00872,IN00011,,,
RDC00873,IN00009,,,
RDC00873,IN00062,,,
RDC00873,IN00056,,,
RDC00873,IN00011,,,
RDC00874,IN00009,,,
RDC00874,IN00062,,,
RDC00874,IN00056,,,
RDC00874,IN00011,,,
RDC00875,IN00050,,,
