affinity_id,chemical_entity_id,affinity_type,affinity_symbols,affinity_value,affinity_unit,description,source,created_at,updated_at
CHAF00409,CC00803,KD,=,230,pM,"The binding affinity (KD) was determined by surface plasmon resonance (SPR) analysis using a Biacore 2000 instrument, with recombinant HER2 as the immobilized ligand.",,,
CHAF00410,CC00804,KD,=,490,pM,"The binding affinity (KD) was determined by surface plasmon resonance (SPR) analysis using a Biacore 2000 instrument, with recombinant HER2 as the immobilized ligand.",,,
CHAF00411,CC00805,KD,=,410,pM,"The binding affinity (KD) was determined by surface plasmon resonance (SPR) analysis using a Biacore 2000 instrument, with recombinant HER2 as the immobilized ligand.",,,
CHAF00412,CC01487,KD,=,27,nM,Uses the high-affinity HER2 RNA aptamer (Kd = 27 nM) but exhibits poor tumor targeting due to unfavorable pharmacokinetics caused by the Tricine co-ligand.,,,
CHAF00413,CC01488,KD,=,27,pM,"Affinity was determined by in vitro cell binding assays using HER2-expressing cell lines (e.g., SKOV-3), where receptor blocking with cold ligand confirmed picomolar-range specificity and affinity.",,,
CHAF00414,LIG00697,KD1,=,0.8,nM,"The affinity was determined using saturation binding assays with Scatchard analysis on OK cells, revealing two binding sites with KD values of 0.8 nM and 9.2 nM. Competitive inhibition assays (IC50) further confirmed high-affinity binding in the low nanomolar range.",,,
CHAF00415,LIG00697,KD2,=,9.2,nM,"The affinity was determined using saturation binding assays with Scatchard analysis on OK cells, revealing two binding sites with KD values of 0.8 nM and 9.2 nM. Competitive inhibition assays (IC50) further confirmed high-affinity binding in the low nanomolar range.",,,
CHAF00416,CC01492,KD,=,0.4,nM,"Surface plasmon resonance (SPR) analysis on a Biacore 3000 instrument with immobilized human HER2, fitting binding curves to a 1:1 Langmuir model to determine kinetic constants",,,
CHAF00417,LIG00283,KD,=,22,pM,The affinity (Kd = 22 pM) of the ZHER2:342 Affibody ligand was not measured in this study; it was cited from previous work which likely used surface plasmon resonance (SPR) or similar biophysical techniques.,,,
CHAF00418,CC00768,KD,=,74,pM,Surface plasmon resonance (Biacore) for HER2 affinity; referenced data for ABD035-albumin affinity.,,,
CHAF00419,CC00283,KD,=,22,pM,Referenced SPR data from previous studies for HER2 affinity; no method detailed for albumin binding.,,,
CHAF00420,CC00811,KD,=,4.76,nm,The binding affinity (KD) was determined by surface plasmon resonance (SPR) analysis using a Biacore 3000 instrument.,,,
CHAF00421,CC01500,KD,=,13.5,pM,Surface Plasmon Resonance (SPR) using a Biacore 3000 instrument. Low-density immobilization of HER2-ECD on a CMS chip to measure monomeric affinity. Analyzed with a 1:1 binding model.,,,
CHAF00422,CC01508,KD,=,15,pM,"Identical SPR methodology as above (Biacore 3000, HER2-ECD chip). Tested at concentrations from 0.17 to 6 nM to determine the equilibrium dissociation constant (K_D).",,,
CHAF00423,CC01509,KD,=,133,pM,"Real-time biosensor analysis using surface plasmon resonance (SPR) on a Biacore 3000. HER2-Fc was immobilized on a CMS chip, and kinetic parameters (ka, kd) were determined by fitting sensorgrams to a 1:1 binding model.",,,
CHAF00424,CC01510,KD,=,107,pM,"Surface plasmon resonance (SPR) with a Biacore 3000 instrument. Purified conjugate was injected over a chip with immobilized HER2-Fc, and the equilibrium dissociation constant (KD) was calculated from the kinetic rate constants.",,,
CHAF00425,CC01511,KD,=,94,pM,"Affinity was determined by biosensor analysis via SPR. Serial dilutions of the conjugate were analyzed for binding to immobilized HER2 extracellular domain, and KD was derived using a 1:1 Langmuir binding model.",,,
CHAF00426,CC02158,KD,=,22,pM,"The affinity of its precursor Z<sub>HER2:342 (22 pM) was determined by SPR (Biacore), a standard method for measuring real-time biomolecular interactions.",,,
CHAF00427,CC01524,KD,=,18.6,nM,Cell binding assay,,,
CHAF00428,LIG00722,KD,=,271 ± 151,nM,Peptide ELISA with HER3 ECD immobilized,,,
CHAF00429,LIG00832,Kd,=,1~5,nM,Binds to domain,,,
CHAF00430,LIG00833,Kd,=,1~5,nM,Binds to domain,,,
CHAF00431,CC01538,KD,=,0.25,nM,Surface plasmon resonance,,,
CHAF00432,CC01540,KD,=,0.2,nM,Surface plasmon resonance,,,
CHAF00433,LIG00711,Kd,=,2.2,nM,Surface plasmon resonance,,,
CHAF00434,CC00847,KD,=,4.5,nM,Surface plasmon resonance,,,
CHAF00435,CC01509,KD,=,133,pM,Cell binding and internalization assay using SKOV3 cells,,,
CHAF00436,CC01560,KD,=,9.6 ± 2.0,nM,FACS,,,
CHAF00437,CC01573,Kd,=,5,nM,Binds with high affinity to HER2,,,
