drug_id,target_id,evidence,created_at,updated_at
RDC00840,TAR0003,,,
RDC00841,TAR0003,,,
RDC00842,TAR0003,,,
RDC00843,TAR0003,,,
RDC00844,TAR0003,,,
RDC00845,TAR0003,,,
RDC00846,TAR0003,,,
RDC00847,TAR0003,,,
RDC00848,TAR0003,,,
RDC00849,TAR0003,,,
RDC00850,TAR0003,,,
RDC00851,TAR0003,,,
RDC00852,TAR0003,,,
RDC00854,TAR0003,,,
RDC00855,TAR0003,,,
RDC00856,TAR0003,,,
RDC00857,TAR0003,,,
RDC00858,TAR0003,,,
RDC00860,TAR0003,,,
RDC00861,TAR0003,,,
RDC00862,TAR0003,,,
RDC00863,TAR0003,,,
RDC00865,TAR0003,,,
RDC00866,TAR0003,,,
RDC00867,TAR0003,,,
RDC00868,TAR0003,,,
RDC00869,TAR0003,,,
RDC00870,TAR0003,,,
RDC00871,TAR0003,,,
RDC01001,TAR0013 ,,,
RDC01002,TAR0013,,,
RDC01003,TAR0013,,,
RDC01004,TAR0013,,,
RDC01005,TAR0013,,,
RDC01006,TAR0013,,,
RDC01007,TAR0098,,,
RDC01008,TAR0098,,,
RDC01009,TAR0013,,,
RDC01010,TAR0013,,,
RDC01011,TAR0013,,,
RDC01012,TAR0013,,,
RDC01013,TAR0013,,,
RDC01015,TAR0013,,,
RDC01016,TAR0013,,,
RDC01017,TAR0013,,,
RDC01019,TAR0100,,,
RDC01020,TAR0013,,,
RDC01021,TAR0013,,,
RDC01022,TAR0013,,,
RDC01024,TAR0013,,,
RDC01025,TAR0013,,,
RDC01026,TAR0101,,,
RDC01027,TAR0013,,,
RDC01028,TAR0107,,,
RDC01029,TAR0097,,,
RDC01032,TAR0102,,,
RDC01033,TAR0103,,,
RDC01034,TAR0103,,,
RDC01035,TAR0103,,,
RDC01036,TAR0005,,,
RDC01039,TAR0005,,,
RDC01041,TAR0005,,,
RDC01042,TAR0005,,,
RDC01043,TAR0005,,,
RDC01044,TAR0005,,,
RDC01045,TAR0106,,,
RDC01050,TAR0005,,,
RDC01052,TAR0005,,,
RDC01056,TAR0005,,,
RDC01057,TAR0005,,,
RDC01060,TAR0005,,,
RDC01061,TAR0007,,,
RDC01062,TAR0007,,,
RDC01063,TAR0007,,,
RDC01064,TAR0007,,,
RDC01066,TAR0007,,,
RDC01067,TAR0007,,,
RDC01068,TAR0007,,,
RDC01069,TAR0007,,,
RDC01070,TAR0018,,,
RDC01083,TAR0005,,,
RDC01085,TAR0005,,,
RDC01085,TAR0023,,,
RDC01086,TAR0005,,,
RDC01087,TAR0005,,,
RDC01089,TAR0005,,,
RDC01090,TAR0005,,,
RDC01091,TAR0005,,,
RDC01092,TAR0005,,,
RDC01095,TAR0005,,,
RDC01096,TAR0005,,,
RDC01097,TAR0005,,,
RDC01101,TAR0005,,,
RDC01105,TAR0005,,,
RDC01106,TAR0005,,,
RDC01107,TAR0005,,,
RDC01108,TAR0005,,,
RDC01109,TAR0005,,,
RDC01111,TAR0005,,,
RDC01112,TAR0005,,,
RDC01113,TAR0005,,,
RDC01114,TAR0005,,,
RDC01115,TAR0005,,,
RDC01116,TAR0005,,,
RDC01117,TAR0005,,,
RDC01119,TAR0005,,,
RDC01120,TAR0005,,,
RDC01121,TAR0005,,,
RDC01122,TAR0005,,,
RDC01123,TAR0005,,,
RDC01125,TAR0024,,,
RDC01126,TAR0024,,,
RDC01129,TAR0005,,,
RDC01130,TAR0005,,,
RDC01133,TAR0005,,,
RDC01135,TAR0005,,,
RDC01136,TAR0021,,,
RDC01137,TAR0021,,,
RDC01138,TAR0005,,,
RDC01139,TAR0005,,,
RDC01140,TAR0005,,,
RDC01141,TAR0005,,,
RDC01142,TAR0005,,,
RDC01143,TAR0005,,,
RDC01144,TAR0005,,,
RDC01145,TAR0005,,,
RDC01146,TAR0005,,,
RDC01147,TAR0005,,,
RDC01148,TAR0076,,,
RDC01149,TAR0005,,,
RDC01151,TAR0005,,,
RDC01152,TAR0005,,,
RDC01153,TAR0005,,,
RDC01154,TAR0005,,,
RDC01155,TAR0005,,,
RDC01156,TAR0005,,,
RDC01158,TAR0005,,,
RDC01159,TAR0005,,,
RDC01160,TAR0005,,,
RDC01161,TAR0005,,,
RDC01162,TAR0005,,,
RDC01163,TAR0005,,,
RDC01164,TAR0016,,,
RDC01165,TAR0005,,,
RDC01166,TAR0005,,,
RDC01167,TAR0005,,,
RDC01168,TAR0005,,,
RDC01169,TAR0005,,,
RDC01170,TAR0005,,,
RDC01171,TAR0005,,,
RDC01172,TAR0005,,,
RDC01173,TAR0005,,,
RDC01174,TAR0005,,,
RDC01179,TAR0005,,,
RDC01180,TAR0005,,,
RDC01181,TAR0005,,,
RDC01182,TAR0005,,,
RDC01183,TAR0005,,,
RDC01184,TAR0015,,,
RDC01185,TAR0005,,,
